O Grilo | Sofia;
Jovem Dionisio | Melhor do Mundo;
Jovem Dionisio | por dentro e por fora;
Jovem Dionisio | Neste Contexto;
Jovem Dionisio | Croche;
Jovem Dionisio | BiKE (blv);
Jovem Dionisio | Nao pense;
infinita madrugada | Rain and Storms;
infinita madrugada | Love U Makes Me So Bad;
infinita madrugada | Falling Down;
infinita madrugada | Pensamentos Noturnos, Pt. III;
infinita madrugada | Daqui pra Mais Tarde;
infinita madrugada | Hector;
infinita madrugada | Estadia;
infinita madrugada | Leminski (Estrelas no Mar);
infinita madrugada | Fora do Ar;
infinita madrugada | Lencois Azuis;
infinita madrugada | Nervoso Demais;
Atalhos | Assim Falou Zaratustra;
Atalhos | Anjo Mau;
Atalhos | Ondas de Calor;
Atalhos | Ayer Mori;
Atalhos | Belo Horizonte;
Atalhos | Delirios en Paraguay;
Atalhos | A Forca das Coisas;
Atalhos | Desejos de uma Tempestade;
AQUINO | Ruas;
AQUINO | Pitaya;
AQUINO | 302;
AQUINO | Luzia|Homem;
AQUINO | Ato I: Mar;
AQUINO | Ato II: Peixe;
AQUINO | Interludio (Concert Per Cathy);
AQUINO | Au Revoir;
AQUINO | Da Vista do Meu Copo de Cafe;
AQUINO | Pra Dois;
AQUINO | Pai;
AQUINO | Florestas de Apartamento;
AQUINO | Os Predios Cinzas e Brancos da Av. Maracana;
AQUINO | Cobra|Coral;
AQUINO | Amor Sintetico;
AQUINO | Como Voce;
AQUINO | Neotropical;
AQUINO | Onda do Mar;
AQUINO | Lagrimas Contemporaneas;
AQUINO | Matas e Mares;
AQUINO | Camisa do Flamengo;
AQUINO | Ela;
AQUINO | Vapor de Cachoeira;
AQUINO | Tudo o Quanto E Lindo;
AQUINO | Stevie Wonder;
AQUINO | 20 Anos e Meio;
AQUINO | Quando Ela Foi;
AQUINO | Pra Dancar;
AQUINO | MTV;
AQUINO | Eu e Ela;
